"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"47110","2019",경상북도 포항시,,,37.64,5,-3.49,10,,,31.89,6,0.49,5,,,1907,7,48.41,6,27.89,6,2.19,3,43.65,4,-40.85,10,-0.54,10,93.09,6,14.35,3,19.51,5,,0,169,7
"47850","2019",경상북도 칠곡군,,,36.13,5,-6.63,10,,,27.53,6,0.65,6,,,238,1,37.79,5,37.27,6,2.45,4,71.17,5,-43.49,10,-1.48,10,76.61,5,26.08,5,18.21,5,0.18,2,35,4
"48170","2019",경상남도 진주시,,,45.88,6,-2.7,10,,,35.17,6,0.44,5,,,858,6,25.45,4,31.04,6,2.33,4,34.32,3,-15.81,10,0.42,9,84.69,5,17.26,4,13.11,4,0.12,1,104,6
"48240","2019",경상남도 사천시,,,36.44,5,-5.99,10,,,22.6,5,0.62,6,,,189,1,55.07,6,26.44,6,2.57,4,65.81,5,-37.86,10,-1.33,10,85.57,5,37.14,6,43.91,6,0.47,5,28,3
"48110","2019",경상남도 창원시,,,39.94,5,-4.26,10,,,39.06,6,0.5,5,,,2418,7,45.54,6,17.68,5,4.44,5,38.71,3,10.85,7,-0.94,10,79.74,5,11.96,2,12.27,4,,0,340,7
"11350","2021",서울특별시 노원구,,,,,,,,,20.24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11410","2021",서울특별시 서대문구,,,,,,,,,35.94,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11590","2021",서울특별시 동작구,,,,,,,,,32.17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11620","2021",서울특별시 관악구,,,,,,,,,23.11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26200","2021",부산광역시 영도구,,,,,,,,,13.68,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26440","2021",부산광역시 강서구,,,,,,,,,45.02,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28140","2021",인천광역시 동구,,,,,,,,,22.72,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28237","2021",인천광역시 부평구,,,,,,,,,21.7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29155","2021",광주광역시 남구,,,,,,,,,14.09,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30110","2021",대전광역시 동구,,,,,,,,,11.49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31710","2021",울산광역시 울주군,,,,,,,,,45.34,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41130","2021",경기도 성남시,,,,,,,,,61.64,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41190","2021",경기도 부천시,,,,,,,,,35.51,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41360","2021",경기도 남양주시,,,,,,,,,32.68,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42110","2021",강원도 춘천시,,,,,,,,,20.12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42150","2021",강원도 강릉시,,,,,,,,,18.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42170","2021",강원도 동해시,,,,,,,,,18.53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42230","2021",강원도 삼척시,,,,,,,,,12.18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42780","2021",강원도 철원군,,,,,,,,,10.39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42800","2021",강원도 양구군,,,,,,,,,18.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42830","2021",강원도 양양군,,,,,,,,,19.48,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43110","2021",충청북도 청주시,,,,,,,,,31.72,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44150","2021",충청남도 공주시,,,,,,,,,18.45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44790","2021",충청남도 청양군,,,,,,,,,19.18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46110","2021",전라남도 목포시,,,,,,,,,21.9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46910","2021",전라남도 신안군,,,,,,,,,7.44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
