,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
130,전라북도 임실군,1,-62.662,4,-3.344,2.0,56.466,45750,-5.51,12.93,0.46,30.0,17.51,9.16,0.64,188.59,-3.15,97.83,143.39,20.65,2.34,0
131,전라북도 순창군,1,-56.573,5,-1.539,1.0,64.699,45770,-5.82,15.18,0.36,46.0,15.13,7.46,1.09,176.91,-2.04,87.51,147.04,25.66,0.77,1
132,전라북도 고창군,0,-56.381,3,1.429,0.0,39.304,45790,-7.48,13.8,0.48,46.0,16.3,10.7,1.29,110.13,-1.92,96.68,119.96,29.32,1.16,0
133,전라북도 부안군,1,-55.255,3,2.286,1.0,65.603,45800,-5.98,14.1,0.46,35.0,18.27,77.68,1.43,105.34,-1.29,94.29,102.25,29.48,0.82,1
134,전라남도 목포시,1,-5.65,5,0.05,0.0,76.896,46110,-4.35,21.58,0.38,170.0,15.4,34.99,12.91,56.12,-0.96,77.73,41.14364285714286,17.83,0.09,1
135,전라남도 여수시,1,-14.268,5,3.159,0.0,64.636,46130,-4.49,36.85,0.61,210.0,61.86,24.64,3.02,67.65,-0.11,74.41,41.14364285714286,30.89,0.23,2
136,전라남도 순천시,1,-3.01,1,2.599,0.0,62.635,46150,-2.73,25.03,0.43,387.0,19.89,38.38,1.53,55.29,-0.02,86.35,41.14364285714286,41.0,0.45,1
137,전라남도 나주시,1,-46.032,0,8.09,0.0,66.78,46170,-0.3,22.57,0.6,1299.0,52.33,21.64,1.4,102.74,0.87,93.32,41.14364285714286,24.85,0.28,1
138,전라남도 광양시,1,-5.044,1,2.475,0.0,55.643,46230,-4.38,31.57,0.67,276.0,89.38,75.92,3.18,74.33,-0.13,98.79,41.14364285714286,31.12,0.35,2
139,전라남도 담양군,1,-49.828,2,6.831,1.0,53.368,46710,-5.47,17.85,0.58,113.0,20.93,26.01,0.87,155.39,-0.09,86.53,41.14364285714286,19.6,0.71,0
140,전라남도 곡성군,1,-55.894,5,2.485,2.0,62.975,46720,-8.07,17.89,0.55,45.0,38.61,23.58,0.63,225.04,-1.53,92.58,41.14364285714286,27.25,1.1,1
141,전라남도 구례군,1,-50.837,2,2.511,1.0,64.713,46730,-9.57,8.75,0.42,12.0,17.75,37.23,0.53,230.22,-1.33,98.11,41.14364285714286,27.66,2.55,1
